t_s,t_rel_s,raw_magnetometer_mag_x,raw_magnetometer_mag_y,raw_magnetometer_mag_z,raw_magnetometer_heading,raw_magnetometer_heading_wrapped_deg,raw_accelerometer_acc_x,raw_accelerometer_acc_y,raw_accelerometer_acc_z,raw_accelerometer_roll_deg,raw_accelerometer_pitch_deg,raw_gyroscope_gyro_x,raw_gyroscope_gyro_y,raw_gyroscope_gyro_z,raw_gyroscope_rate_mag,gnss_heading_mag_x,gnss_heading_mag_y,gnss_heading_mag_z,gnss_heading_heading,gnss_heading_heading_wrapped_deg
2141.024,0.0,-998.5432098765323,2617.0123456791607,18845.666666666668,339.1139339478284,-20.8860660521716,-0.13137613338102103,-0.04274616130615875,-0.9903324776227066,-177.5289334274878,7.549234967101865,-0.0009394085759043371,0.06976587258644212,-0.011266334433728964,0.08623492548426692,0.0,0.0,0.0,40.9026985168,40.9026985168
2141.176,0.15200000000004366,-1028.2037037036803,2577.7407407407613,18883.20370370358,338.2534421029265,-21.746557897073444,-0.12883483811650645,-0.05431081016583565,-0.9901307335607958,-176.85965200675966,7.402310162505557,-0.03685372183098212,0.05334921277787089,0.03866684773106971,0.08177002964065679,0.0,0.0,0.0,40.9026985168,40.9026985168
2141.328,0.3040000000000873,-997.4938271604814,2517.6543209876377,18833.20987654318,338.38665055170384,-21.613349448296162,-0.12809745130356553,-0.04833396657565674,-0.9906757415075005,-177.20638785224725,7.3596888304403585,0.010070723446994228,0.02175092258501122,0.05878201727236994,0.07265676268121844,0.0,0.0,0.0,40.9026985168,40.9026985168
2141.48,0.45600000000013097,-989.7777777778339,2510.58024691363,18830.395061728406,338.48509460191286,-21.514905398087194,-0.12467000444935561,-0.03689156796921574,-0.991403598108284,-177.86870998759818,7.161704929613194,-0.035139140897028485,-0.00020364802083069726,0.054150666834601985,0.0720911275622079,0.0,0.0,0.0,40.96206541181089,40.9620654118109
2141.632,0.6080000000001746,-926.9629629630116,2507.3333333332744,18859.555555555482,339.70480644822084,-20.29519355177922,-0.11977259138647572,-0.01953834067619255,-0.9924920046771831,-178.7481660052952,6.879028804031662,-0.021737783923136564,-0.01878160377963819,0.04302228773359727,0.05841663834947669,0.0,0.0,0.0,43.9501991272,43.950199127199994
2141.784,0.7600000000002183,-880.0,2563.703703703596,18879.851851851818,341.0537424946659,-18.946257505334074,-0.09859109173220802,0.003111782841626766,-0.9950584173201477,59.79026358596311,5.658256391278027,-0.04239163784894003,-0.02768956186869944,0.016534905768618952,0.06245584673677706,0.0,0.0,0.0,43.9501991272,43.950199127199994
2141.936,0.9120000000002619,-914.629629629639,2711.080246913616,18905.740740740723,341.3555638079816,-18.644436192018475,-0.1396357656719339,-0.009898404685652517,-0.9900138146345597,-179.12804167017882,8.027667970078163,-0.00128101224633515,-0.02030567907624367,-0.024943598609335066,0.07279418865342724,0.0,0.0,0.0,43.9501991272,43.950199127199994
2142.088,1.0640000000003056,-912.9012345677999,2884.753086420026,18888.901234567842,342.4311179715466,-17.568882028453345,-0.17767736591656158,-0.0214806771894842,-0.9838128796329102,-178.74997960609863,10.235022494168962,-0.159784869923568,0.0046247811298461205,-0.053966726693870856,0.16912467050716914,0.0,0.0,0.0,43.9501991272,43.950199127199994
2142.2400000000002,1.2160000000003492,-835.1666666666666,2956.0,18827.333333333332,344.2182010195,-15.78179898050007,-0.18391335507233333,-0.011973453646861835,-0.9827934702235,-59.3036447005,10.597897828383333,-0.24122436841333336,0.032813608956833336,-0.043278489882733334,0.24884573044000002,0.0,0.0,0.0,43.9501991272,43.950199127199994
2142.3920000000003,1.368000000000393,-689.6533333330973,3014.8666666666736,18740.146666666697,347.1173275689643,-12.882672431035644,-0.17067150076215315,0.02435835393768346,-0.9850062370299248,178.58371872263845,9.827005480065976,-0.0922470380053699,0.06545694284143425,0.015331937465114926,0.15356526702762935,0.0,0.0,0.0,43.9501991272,43.950199127199994
