t_s,t_rel_s,raw_magnetometer_mag_x,raw_magnetometer_mag_y,raw_magnetometer_mag_z,raw_magnetometer_heading,raw_magnetometer_heading_wrapped_deg,raw_accelerometer_acc_x,raw_accelerometer_acc_y,raw_accelerometer_acc_z,raw_accelerometer_roll_deg,raw_accelerometer_pitch_deg,raw_gyroscope_gyro_x,raw_gyroscope_gyro_y,raw_gyroscope_gyro_z,raw_gyroscope_rate_mag,gnss_heading_mag_x,gnss_heading_mag_y,gnss_heading_mag_z,gnss_heading_heading,gnss_heading_heading_wrapped_deg
1218.135,0.0,-347.98765432101885,1234.1666666666877,19349.907407407452,344.2635756352705,-15.736424364729487,0.005967013493332086,-0.047871549343586756,-0.9988055295418032,-177.25597780725062,-0.34188779669691344,-0.07404904993094323,0.009701200933376824,0.06216027599723472,0.10017035141997101,0.0,0.0,0.0,75.8355026245,75.83550262450001
1218.287,0.15200000000004366,-330.24074074074304,1231.0185185185264,19300.55555555554,344.9831120845,-15.016887915499979,-0.004282419043776019,-0.03436687954321607,-0.9993552400006112,-178.0304442302036,0.24537441071995017,-0.08271394449250491,-0.011154656429996346,0.0808614050900613,0.11934993606675505,0.0,0.0,0.0,75.8355026245,75.83550262450001
1218.439,0.3040000000000873,-234.49382716043925,1275.0000000000337,19193.11111111109,349.5008948113853,-10.499105188614749,-0.014581579855886213,-0.0047556193427377574,-0.999771292930642,-59.62117758827184,0.8354982458644723,-0.09488027043804714,-0.05125360885338027,0.09549778741266994,0.1680883262005286,0.0,0.0,0.0,75.86552072499019,75.86552072499018
1218.5910000000001,0.45600000000013097,-157.0,1345.0,19227.0,353.342072724,-6.657927276000009,-0.019794384638457948,-0.020455514994921414,-0.9995710040313457,-178.79329762211765,1.134219971370445,-0.01160794004161944,-0.07266949816251861,0.06767683660170751,0.12315372319937463,0.0,0.0,0.0,78.1468963623,78.14689636230003
1218.7430000000002,0.6080000000001746,-135.61111111108303,1364.9629629629892,19214.16666666665,354.3123298874704,-5.687670112529531,-0.030418030480746854,0.0058551008689421416,-0.9993820267697531,-0.44379822267935837,1.7430963453053232,0.022736318800427126,-0.04940106920941152,0.027656716214083346,0.08352347981510326,0.0,0.0,0.0,78.1468963623,78.14689636230003
1218.8950000000002,0.7600000000002183,-127.18518518520156,1439.814814814828,19238.66666666668,354.95211567651796,-5.047884323482094,-0.04529063931356127,-0.006368728733998839,-0.9988999344685365,-179.39985215603704,2.595927688596387,0.0008277309351759025,0.020476480212994044,0.036282195226741656,0.056003825614260046,0.0,0.0,0.0,78.1468963623,78.14689636230003
1219.0470000000003,0.9120000000002619,-170.40740740748976,1401.3456790122978,19236.753086419787,353.0586597131446,-6.941340286855393,-0.047925595079098646,0.0010490687132764707,-0.9986879196433087,-59.97055939509625,2.7470086054678458,0.12602528280123607,0.07790522362451224,0.05140470419035452,0.1722236268460835,0.0,0.0,0.0,78.1468963623,78.14689636230003
1219.1990000000003,1.0640000000003056,-208.64197530877453,1384.3950617283374,19236.3086419754,351.4199157499571,-8.580084250042887,-0.040564198598844595,-0.021813670891964464,-0.9987081241461718,-178.1326764544364,2.3248002911908197,0.03171653364893051,0.14926086540975317,0.035947161450630254,0.30548275990851503,0.0,0.0,0.0,78.1468963623,78.14689636230003
1219.3510000000003,1.2160000000003492,-306.00000000007884,1300.9999999998515,19280.999999999927,346.71546566449524,-13.284534335504759,-0.013829997818250136,-0.0670069741705915,-0.9974916478000015,-176.1571936305005,0.7924832515590472,0.047712761597910686,0.17754823217778654,-0.006207980428991185,0.20484796021815327,0.0,0.0,0.0,78.2148320351887,78.21483203518869
1219.5030000000004,1.368000000000393,-306.296296296199,1195.8518518516648,19251.444444444416,345.64208781807633,-14.357912181923666,0.006335031560250883,-0.05077919695109867,-0.9986561084234635,-177.0891579040932,-0.3629737548097317,-0.08470444125976855,0.08712851007760122,-0.011883847881124407,0.14154913049940657,0.0,0.0,0.0,80.7794036865,80.77940368650002
1219.6550000000004,1.5200000000004366,-267.9629629629162,1167.8888888889505,19256.4444444445,347.0691938315584,-12.930806168441677,0.010890977698590603,-0.03551444463013449,-0.9990984841631119,-177.50076857105768,-0.6240286839165834,-0.10906337270617449,-0.020929761295717213,-0.021875739408025504,0.11959288048543756,0.0,0.0,0.0,80.7794036865,80.77940368650002
1219.8070000000005,1.6720000000004802,-149.91358024651436,1227.6913580248536,19226.845679012175,353.01348501566775,-6.986514984332189,-0.011042515031543076,-0.020556575170234473,-0.9996503024924278,-178.5804130134329,0.6327043214747162,-0.08692486006953028,-0.017697670389130213,-0.01488601374958974,0.09092952211806979,0.0,0.0,0.0,80.7794036865,80.77940368650002
1219.9590000000005,1.8240000000005239,-127.0,1237.0,19217.0,354.138110045,-5.861889954999924,-0.013283408051475135,-0.00274964406965318,-0.9998823661862349,-1.9899786716473358,0.7611064666802657,-0.07811544090480614,0.047174080026614926,-0.024004189608058613,0.10145224804869954,0.0,0.0,0.0,80.7794036865,80.77940368650002
1220.1110000000006,1.9760000000005675,-20.666666666563593,1237.9999999997817,19246.666666666275,359.06375605236667,-0.9362439476333293,0.0015653577089770273,0.00702310955003146,-0.9999475479126662,179.24471114366355,-0.08968848301723245,-0.06066083411373064,0.1065998909377172,-0.035651543488136025,0.129424085000482,0.0,0.0,0.0,80.7794036865,80.77940368650002
1220.2630000000006,2.128000000000611,-10.666666666707593,1203.3333333333333,19218.000000000022,359.4954790676934,-0.5045209323066047,0.002010751127603557,0.013794014851221727,-0.999869892994667,178.96677149433427,-0.11520799873446959,-0.020397648874988333,0.08034900079161504,-0.04753539214535538,0.0984794412270148,0.0,0.0,0.0,80.7794036865,80.77940368650002
1220.4150000000006,2.280000000000655,1.0000000001091394,1178.99999999985,19192.333333333703,360.0559119827673,0.05591198276738396,-0.0026437511843062094,0.02615871462809657,-0.9994714359438336,178.50077179017023,0.1514804385139238,-0.0053211258878191735,0.07059360171358549,-0.03866684840360052,0.09224649651855019,0.0,0.0,0.0,80.80127711140386,80.80127711140386
1220.5670000000007,2.4320000000006985,23.481481481526707,1150.5185185184732,19153.018518517863,361.1701988775733,1.1701988775732843,-0.0013830884427918325,0.01303936464339638,-0.9998428644958511,179.2528382480878,0.07925088653069162,-0.08381758669122263,0.0853350926882914,-0.011430566496491908,0.12299141966569543,0.0,0.0,0.0,81.6269989014,81.62699890139999
1220.7190000000007,2.584000000000742,99.22222222262924,1122.1604938268574,19182.4938271608,365.0718423250021,5.0718423250020805,-0.0029753205567370324,0.02994578054613297,-0.9995328379268085,178.2839455098017,0.17047428961116817,-0.014196238796380309,0.14539155345657515,0.009348101649488634,0.1498896195574029,0.0,0.0,0.0,81.6269989014,81.62699890139999
1220.8710000000008,2.736000000000786,120.27160493829422,1042.049382715787,19233.46913580291,366.59153401091737,6.591534010917371,0.024667563170071825,0.03516049250781375,-0.9989698485091649,177.98414890368736,-1.4136712485254859,-0.02437206956901134,0.11344508969274482,0.0007160527079084823,0.11956684018996508,0.0,0.0,0.0,81.6269989014,81.62699890139999
1221.0230000000008,2.8880000000008295,179.28395061754625,936.0740740736807,19210.703703703446,370.8464032175143,10.846403217514307,0.056720771102514785,0.03506174390368747,-0.9975692482638212,177.9872857413329,-3.2516382848098684,0.043797462575257365,0.029726042391679978,-0.017612269401304465,0.071999804403876,0.0,0.0,0.0,81.6269989014,81.62699890139999
1221.1750000000009,3.040000000000873,164.87654320943332,950.740740741202,19214.166666666788,369.9129899113067,9.912989911306681,0.05607254244381481,0.031779745076412805,-0.9978499636975102,178.17617993628758,-3.2144403696804096,-0.0029101960628366754,-0.02977859694518701,-0.04230623542811355,0.059123016495218464,0.0,0.0,0.0,81.6269989014,81.62699890139999
1221.327000000001,3.1920000000009168,84.46913580249799,1063.1728395064786,19203.913580246528,364.5420832564942,4.542083256494152,0.04765458115272394,0.0464804650364378,-0.9977250514942473,177.3330329928224,-2.731441581660265,0.05497839821557601,-0.00580068427845086,-0.07230818950031737,0.09465782441223958,0.0,0.0,0.0,81.6269989014,81.62699890139999
1221.479000000001,3.3440000000009604,24.58620689611194,1131.3333333333333,19222.879310344648,361.2680014758214,1.2680014758213929,0.055590879900006315,0.01686568095743527,-0.9981403957151739,178.49510892748063,-3.186832440970451,0.06556605616179018,0.08685667847148795,-0.11587821863522645,0.16248428817894023,0.0,0.0,0.0,81.62206912353406,81.62206912353406
