t_s,t_rel_s,raw_magnetometer_mag_x,raw_magnetometer_mag_y,raw_magnetometer_mag_z,raw_magnetometer_heading,raw_magnetometer_heading_wrapped_deg,raw_accelerometer_acc_x,raw_accelerometer_acc_y,raw_accelerometer_acc_z,raw_accelerometer_roll_deg,raw_accelerometer_pitch_deg,raw_gyroscope_gyro_x,raw_gyroscope_gyro_y,raw_gyroscope_gyro_z,raw_gyroscope_rate_mag,gnss_heading_mag_x,gnss_heading_mag_y,gnss_heading_mag_z,gnss_heading_heading,gnss_heading_heading_wrapped_deg
1404.707,0.0,,,,,,,,,,,,,,,0.0,0.0,0.0,252.3652496335,-107.63475036649999
1404.8590000000002,0.15200000000004366,-3411.3888888889383,-195.82716049365467,19134.876543209848,266.71392247712026,-93.28607752287974,-0.06105028111254603,0.010234993620898471,-0.9980683039738462,179.4124214872406,3.5001133290102735,-0.0672498316746496,-0.03109902465417288,0.018282337568371568,0.07789711591864985,0.0,0.0,0.0,252.41452429969357,-107.58547570030646
1405.0110000000002,0.3040000000000873,-3391.2962962962633,-135.17901234564079,19176.277777777846,267.7186013765068,-92.2813986234932,-0.06079663423660987,0.0058862876695312556,-0.9981118690820058,179.65521048566723,3.4855665069120394,-0.002332098689938042,-0.014846598036731787,0.008927666912726706,0.05724845211461372,0.0,0.0,0.0,252.415496826,-107.58450317400002
1405.1630000000002,0.45600000000013097,-3412.9629629630144,-85.2592592592106,19176.00000000007,268.5681481643712,-91.43185183562878,-0.07068797449272655,0.0010711441546323083,-0.997482243511333,-60.04895646205612,4.053515109532102,-0.014110837442266683,0.022506391439903232,0.004828429160016412,0.04502178489632895,0.0,0.0,0.0,252.415496826,-107.58450317400002
1405.3150000000003,0.6080000000001746,-3431.8209876543115,-73.17901234568862,19223.043209876396,268.7784008130739,-91.22159918692608,-0.07252048172147971,-0.002420167233208315,-0.9973101538641729,-48.76297547280699,4.158773020767112,0.1265770991645057,0.0521733113507322,0.0014058283722639632,0.14171020597036685,0.0,0.0,0.0,252.415496826,-107.58450317400002
1405.4670000000003,0.7600000000002183,-3517.4444444446817,-85.24691358022665,19172.901234567802,268.61058566455597,-91.38941433544403,-0.07582416606169533,-0.007858009451274274,-0.9970534377629144,-179.548512215927,4.348698435737314,0.021317349790447485,0.042838348512621346,0.00566272903883786,0.05305903990379662,0.0,0.0,0.0,252.415496826,-107.58450317400002
1405.6190000000004,0.9120000000002619,-3521.32098765424,-71.41975308644002,19143.07407407407,268.83762591941945,-91.16237408058055,-0.07629951305785151,-0.00958381139929083,-0.9970009985527184,-179.44889724837498,4.376059062828682,-0.041314272647278265,0.023274998559958994,0.022867702465106127,0.06051243742471733,0.0,0.0,0.0,252.415496826,-107.58450317400002
1405.7710000000004,1.0640000000003056,-3497.2469135802266,-60.37037037033996,19169.308641975364,269.0110609640622,-90.98893903593779,-0.09016128606453364,-0.007615662889843298,-0.9958889635256969,-179.3593935094889,5.172891255360743,-0.04333761518646345,0.024746519306480214,0.026763291719045696,0.08481352316380047,0.0,0.0,0.0,252.41549682600228,-107.58450317399775
1405.9230000000005,1.2160000000003492,-3462.580246913518,-43.06172839502929,19200.37037037051,269.28831667751905,-90.71168332248095,-0.08397827283647982,-0.004249984577061434,-0.9964496419754774,-179.6030486078023,4.817283176650823,0.00010510856860782708,0.0260866549279516,0.0074035913070487356,0.032322980440507694,0.0,0.0,0.0,253.17766054208005,-106.82233945791995
1406.0750000000005,1.368000000000393,-3466.444444444416,-37.74074074069396,19233.944444444478,269.37650744009335,-90.62349255990665,-0.08163237212984255,-0.009211441933163023,-0.9966141449080186,-179.47046208281398,4.682401212241928,0.027295405234836895,0.012672162925161873,-0.01925459238533016,0.042136235217534186,0.0,0.0,0.0,253.192703247,-106.807296753
1406.2270000000005,1.5200000000004366,-3480.0185185187484,-5.2777777776439745,19191.129629629202,269.9122231522429,-90.08777684775708,-0.08459778019678688,-0.009320249315357501,-0.9963387261939787,-179.46392382477646,4.852929981031588,0.033779296368658895,0.016534905880748553,-0.028773494651194498,0.08614807424095738,0.0,0.0,0.0,253.192703247,-106.807296753
1406.3790000000006,1.6720000000004802,-3510.796296296165,6.444444444399531,19088.296296296063,270.1046889828511,-89.89531101714891,-0.08690879286989686,-0.01255268905378955,-0.9960963118960005,-178.98260747922308,4.985817289955453,-0.012475083683515128,0.0351785536235052,-0.011489690320147548,0.056948913465181515,0.0,0.0,0.0,253.192703247,-106.807296753
1406.5310000000006,1.8240000000005239,-3507.3703703703327,8.259259259266745,19119.148148148266,270.134594321852,-89.86540567814802,-0.08477304048006752,-0.011817255333340366,-0.9963299444428905,-179.3205239609258,4.863012155605944,-0.0433179041135353,0.03598657681567229,0.020220278038026986,0.08811411495089193,0.0,0.0,0.0,253.192703247,-106.807296753
1406.6830000000007,1.9760000000005675,-3503.1111111112723,18.419753086545292,19110.456790123637,270.29943969395265,-89.70056030604735,-0.09418562022445844,-0.027243061589117185,-0.9951814887701297,-178.43220196721276,5.404470111231366,-0.00028904830681788043,0.014826890316819398,0.04410622096454525,0.07194230633085535,0.0,0.0,0.0,253.192703247,-106.807296753
1406.8350000000007,2.128000000000611,-3550.833333333436,48.91666666671782,19191.022222222455,270.7889346007786,-89.21106539922141,-0.10528367625341782,-0.03600799619322471,-0.9937879542510842,-177.92453239168975,6.04359149980905,0.04716882400397326,0.010778236249436962,0.041676239276049964,0.07014198303619193,0.0,0.0,0.0,253.19270324700804,-106.80729675299199
1406.9870000000008,2.280000000000655,-3569.469135802547,85.04320987674984,19192.530864197455,271.3636477011576,-88.63635229884238,-0.09863163392852098,-0.015719824855716876,-0.9949020158363724,-179.09461887713147,5.660572222286469,0.020430497170379616,0.004375148023378525,0.02153413648490601,0.08772662566948058,0.0,0.0,0.0,254.98394883663468,-105.01605116336532
